champion_i,champion_j,games_ij
Mel,Zed,4192.0
Mel,Katarina,4151.0
Mel,Akali,4142.0
Mel,Yone,4121.0
Mel,Sylas,4058.0
Mel,Twisted Fate,4028.0
Mel,Syndra,3944.0
Mel,Fizz,3822.0
Mel,Veigar,3770.0
Mel,Lux,3485.0
Mel,Orianna,3342.0
Mel,Zoe,3021.0
Mel,Aurelion Sol,2835.0
Mel,Diana,2759.0
Mel,LeBlanc,2650.0
Mel,Hwei,2543.0
Mel,Anivia,2408.0
Mel,Ryze,2386.0
Mel,Galio,2282.0
Mel,Aurora,2260.0
Mel,Ekko,2180.0
Mel,Kassadin,2007.0
Mel,Irelia,1994.0
Mel,Akshan,1925.0
Mel,Vladimir,1908.0
Mel,Naafiri,1835.0
Mel,Vex,1772.0
Mel,Lissandra,1720.0
Mel,Annie,1396.0
Mel,Qiyana,1284.0
Mel,Azir,1176.0
Mel,Taliyah,1092.0
Mel,Talon,1036.0
Mel,Brand,993.0
Mel,Vel'Koz,892.0
Mel,Ziggs,794.0
Mel,Smolder,709.0
Mel,Cassiopeia,671.0
Mel,Sion,635.0
Mel,Swain,543.0
Mel,Morgana,435.0
Mel,Cho'Gath,435.0
Mel,Pantheon,432.0
Mel,Jayce,419.0
Mel,Kayle,413.0
Mel,Nasus,364.0
Mel,Kog'Maw,359.0
Mel,Malphite,353.0
Naafiri,Ahri,4170.0
Naafiri,Yasuo,2531.0
Naafiri,Malzahar,2188.0
Naafiri,Zed,2116.0
Naafiri,Viktor,2021.0
Naafiri,Katarina,1972.0
Naafiri,Akali,1967.0
Naafiri,Sylas,1935.0
Naafiri,Mel,1835.0
Naafiri,Yone,1805.0
Naafiri,Xerath,1599.0
Naafiri,Veigar,1518.0
Naafiri,LeBlanc,1499.0
Naafiri,Fizz,1494.0
