pool_rank,pool,pool_score,champion,covered_enemy_count,enemy_frequency_mass_covered,total_contribution,excess_contribution_over_50,total_marginal_lift,top5_marginal_lift_share,effective_matchups,median_matchup_games,min_matchup_games
93,"Aurelion Sol, Qiyana, Sion",0.5371743286408857,Sion,25,0.5672790900501756,0.3071510066175317,0.023511461592443904,0.018435565877792142,0.5523625965339031,11.423790718919369,266.0,38.0
94,"Sion, Veigar, Vel'Koz",0.5371500626090912,Sion,23,0.4822667959343875,0.26242402013486754,0.021290622167673856,0.01864916486048259,0.6380865024688466,9.468687761013715,258.0,58.0
94,"Sion, Veigar, Vel'Koz",0.5371500626090912,Veigar,16,0.32656687770142717,0.17235615036783214,0.009072711517118522,0.003911671623746074,0.7167714425680759,8.187244522809834,1380.0,253.0
94,"Sion, Veigar, Vel'Koz",0.5371500626090912,Vel'Koz,13,0.19116632636418532,0.10236989210639151,0.006786728924298817,0.004893232924007153,0.7836406860997647,4.5183475093441965,249.0,45.0
95,"Akshan, Brand, Sion",0.5371322217528574,Akshan,13,0.25775651729803334,0.13582955574880543,0.006951297099788776,0.0072646324021694245,0.7701478104172076,6.448532219855578,718.0,162.0
95,"Akshan, Brand, Sion",0.5371322217528574,Brand,15,0.20367185226864476,0.10806743637104074,0.006231510236718354,0.003013313259664997,0.5927049420656038,10.309056510854408,227.0,57.0
95,"Akshan, Brand, Sion",0.5371322217528574,Sion,24,0.5385716304333219,0.29323522963301113,0.02394941441635019,0.018691834292096355,0.5177195553950665,10.55845777431944,262.0,58.0
96,"Akshan, Hwei, Sion",0.537104562035023,Akshan,13,0.2585807261537924,0.13672089603582457,0.007430532958928355,0.006929183436564862,0.7729836552101628,5.7494910332938245,718.0,162.0
96,"Akshan, Hwei, Sion",0.537104562035023,Hwei,15,0.19644613055918686,0.10533744050235443,0.007114375222760995,0.002985653541830665,0.6366412526064514,7.235259403776614,736.0,158.0
96,"Akshan, Hwei, Sion",0.537104562035023,Sion,24,0.5449731432870207,0.295046225496844,0.022559653853333635,0.021105413772080202,0.6077970782662496,9.085487381573012,262.0,58.0
97,"Aurelion Sol, Malphite, Sion",0.537093278907432,Aurelion Sol,19,0.2589744865767287,0.1396378436908623,0.010150600402497946,0.008297952919169762,0.6559580724325041,9.594850563156063,492.0,149.0
97,"Aurelion Sol, Malphite, Sion",0.537093278907432,Malphite,11,0.25534346334086844,0.1346052157863807,0.0069334841159465,0.0051410902842387845,0.8081244631700011,4.907789697470595,263.0,36.0
