champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Rakan,rakan,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.04,0.65,0.79,unpopular,102016,177000,https://lolalytics.com/lol/rakan/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Rammus,rammus,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,0.56,0.87,unpopular,80877,154209,https://lolalytics.com/lol/rammus/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Rek'Sai,reksai,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.02,0.29,1.14,niche,31591,78576,https://lolalytics.com/lol/reksai/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Rell,rell,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,0.57,0.92,unpopular,78009,156142,https://lolalytics.com/lol/rell/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Renata Glasc,renataglasc,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,0.18,0.76,unpopular,28871,48057,https://lolalytics.com/lol/renata/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Renekton,renekton,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.27,1.1,0.89,broad,156060,302205,https://lolalytics.com/lol/renekton/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Rengar,rengar,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,0.68,1.25,niche,68547,187433,https://lolalytics.com/lol/rengar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Riven,riven,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.2,0.64,1.17,niche,68769,175201,https://lolalytics.com/lol/riven/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Rumble,rumble,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.15,0.47,0.89,unpopular,66220,128591,https://lolalytics.com/lol/rumble/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ryze,ryze,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.3,0.74,0.82,unpopular,111993,201573,https://lolalytics.com/lol/ryze/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
